potential,current
0,6350.0349
0.01,5088.5094
0.02,4135.1574
0.03,3381.3959
0.04,2772.6041
0.05,2275.146
0.06,1865.6839
0.07,1526.8768
0.08,1245.2963
0.09,1010.2649
0.1,813.1385
0.11,646.82934
0.12,505.46957
0.13,384.16426
0.14,278.805
0.15,185.92741
0.16,102.60291
0.17,26.358839
0.18,-44.876217
0.19,-112.80351
0.2,-178.76284
0.19,-86.810026
0.18,-5.0260045
0.17,73.149015
0.16,152.27024
0.15,236.16108
0.14,328.43526
0.13,432.78179
0.12,553.16091
0.11,693.96217
0.1,860.14442
0.09,1057.3647
0.08,1292.095
0.07,1571.721
0.06,1904.6079
0.05,2300.1137
0.04,2768.5171
0.03,3320.8204
0.02,3968.3706
0.01,4722.2355
